_,Register,"Dictionary Version at introduction","Node or
Leaf",Level,"SMPTE Designator
(first 8 octets)",,,,,,,Version,"SMPTE Item Designator
(last 8 octets following Metadata Dictionary Universal Label) ",,,,,,,,,,,"Formatted as UL",,,,,,"Data Element Name","Data Element Definition",Type,,,,,,"Value Length","Value Range",,,"Defining Document",Notes
,Metadata,1,Node,3,06,0A,2B,34,01,01,01,1,01,01,03,0,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.03.00.00.00.00.00,,,,,,"UMID Data","Unique Material Identifier for data essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M","The last byte of this entry (byte 12) defines the Material and Instance number creation methods, and may have any of the values documented by SMPTE 330M-2000: 10h,11h,12h,20h,21h,22h"
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,03,10,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.03.10.00.00.00.00,,,,,,"UMID Data","Unique Material Identifier for data essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,03,11,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.03.11.00.00.00.00,,,,,,"UMID Data","Unique Material Identifier for data essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,03,12,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.03.12.00.00.00.00,,,,,,"UMID Data","Unique Material Identifier for data essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,03,20,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.03.20.00.00.00.00,,,,,,"UMID Data","Unique Material Identifier for data essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,03,21,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.03.21.00.00.00.00,,,,,,"UMID Data","Unique Material Identifier for data essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,03,22,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.03.22.00.00.00.00,,,,,,"UMID Data","Unique Material Identifier for data essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Node,3,06,0A,2B,34,01,01,01,1,01,01,04,0,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.04.00.00.00.00.00,,,,,,"UMID System","Unique Material Identifier for other essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M","The last byte of this entry (byte 12) defines the Material and Instance number creation methods, and may have any of the values documented by SMPTE 330M-2000: 10h,11h,12h,20h,21h,22h"
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,04,10,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.04.10.00.00.00.00,,,,,,"UMID System","Unique Material Identifier for other essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
,Metadata,1,Leaf,4,06,0A,2B,34,01,01,01,1,01,01,04,11,00,00,00,00,,,,06.0A.2B.34.01.01.01.01.01.01.04.11.00.00.00.00,,,,,,"UMID System","Unique Material Identifier for other essence.  Note - this is a 12 byte SMPTE label.   ","As per SMPTE standard",,,,,,"32 bytes",,,,"SMPTE 330M",
